Company Name,Layoff Total,Workforce Region,WARN Date,Reason for Layoff,Occupations,Layoff Date(s),Temp Layoffs,Perm Layoffs,Furloughs,WARN Letter,NAICS 
Sports Authority - Store Support Center,144,Arapahoe/Douglas,8/26/2016,Closure,,,,,,,
General Dynamics Information Technology,60,Pikes Peak/Teller,8/18/2016,Ceasing certain operations,,,,,,,
Lake Region Medical - Layoffs 8-10-16,60,Jefferson,8/10/2016,Closure,,,,,,,
Integra,59,Denver,8/4/2016,Downsize,,,,,,,
Honeywell Technology Solutions Inc - REV,210,Pikes Peak/Teller,7/28/2016,Potential Downsize,,,,,,,
Packaging Corporation of America,70,Adams,7/25/2016,Closure,,,,,,,
Excelsior,80,Arapahoe/Douglas,7/20/2016,Closure,,,,,,,
Northwest Pipe Company,65,Denver,7/12/2016,Selling  Company,,,,,,,
CCA- Kit Carson Correctional Facility,141,Western,7/5/2016,Closure,,,,,,,
Xerox State Healthcare,85,Arapahoe/Douglas,6/27/2016,Other,,,,,,,
Sports Authority,70,Arapahoe/Douglas,6/23/2016,Closure,,,,,,,
Sports Authority,N/A,Arapahoe/Douglas,6/15/2016,Revision,,,,,,,
Climax Molybdenum Co - Henderson Mine & Mill - REV#3,N/A,Jefferson,6/14/2016,Revision,,,,,,,
Sports Authority,N/A,Arapahoe/Douglas,6/10/2016,Revision,,,,,,,
Honeywell Technology Solutions Inc.,241,Pikes Peak/Teller,6/2/2016,Potential Downsize,,,,,,,
Sanjel,54,Denver,5/31/2016,Closure,,,,,,,
Sanjel,101,Weld,5/31/2016,Closure,,,,,,,
Sports Authority,461,Arapahoe/Douglas,5/25/2016,Closing,,,,,,,
Gaiam Inc.,34,Boulder,5/11/2016,Sale of Company,,,,,,,
DAL Global Services,104,Denver,5/3/2016,Downsize,,,,,,,
XIO Technologies,107,Pikes Peak/Teller,4/25/2016,Closure,,,,,,,
Lake Region Medical - Layoffs 4/21 and or 4/24/16,19,Jefferson,4/11/2016,Closure,,,,,,,
Lake Region Medical - Layoffs 5/19 and/or 5/22/16,26,Jefferson,4/11/2016,Closure,,,,,,,
Lake Region Medical - Layoffs 5/5 and/or 5/8/16,31,Jefferson,4/11/2016,Closure,,,,,,,
Lake Region Medical - Layoffs 6/2 and/or 6/5/16,28,Jefferson,4/11/2016,Closure,,,,,,,
Baxter Healthcare,106,Arapahoe/Douglas,4/5/2016,Closure,,,,,,,
Xerox Business Services,328,Pikes Peak/Teller,3/31/2016,Downsize,,,,,,,
Tubular Repair,7,Rural Resort,3/19/2016,Potential Closure,,,,,,,
Sky Hotel 39 Degrees Recinds Layoffs from 2/5/16 WARN,N/A,Rural Resort,3/18/2016,N/A,,,,,,,
MYCOM North America,2,Arapahoe/Douglas,3/15/2016,Closure,,,,,,,
WPX Energy,208,Rural Resort,3/10/2016,Closure,,,,,,,
Jacobs Technology Inc - ETASS Group.,70,Pikes Peak/Teller,2/29/2016,Downsize,,,,,,,
Bowie Resources LLC - Bowie Mine #2,102,Western,2/26/2016,Idle,,,,,,,
Climax Molybdenum Co - Henderson Mine & Mill - REV#2,N/A,Jefferson,2/25/2016,Downsize,,,,,,,
Sports Authority,72,Denver,2/23/2016,Closure,,,,,,,
Vail Cascade,200,Rural Resort,2/17/2016,Job Attached,,,,,,,
Honeywell,8,Pikes Peak/Teller,2/12/2016,Downsize,,,,,,,
Startek,89,Pikes Peak/Teller,2/10/2016,Downsize,,,,,,,
Leggett and Platt,62,Pikes Peak/Teller,2/5/2016,Closure,,,,,,,
Sky Hotel 39 Degrees,91,Rural Resort,2/5/2016,Closure,,,,,,,
All Web Leads Inc.,103,Denver,2/3/2016,Closure,,,,,,,
Jones International University,28,Arapahoe/Douglas,1/31/2016,Closure,,,,,,,
VMWare,38,Broomfield,1/26/2016,Downsize,,,,,,,
VMWare,48,Pikes Peak/Teller,1/26/2016,Downsize,,,,,,,
Climax Molybdenum Co - Henderson Mine & Mill - REV#1,210,Jefferson,1/25/2016,Downsize,,,,,,,
Republic Airways Holdings,158,Denver,1/25/2016,Closure,,,,,,,
Sprint,247,Arapahoe/Douglas,1/22/2016,Downsize,,,,,,,
Concentrix,348,Boulder,1/18/2016,Closure,,,,,,,
Walmart Store #3021,65,Arapahoe/Douglas,1/15/2016,Closure,,,,,,,
Walmart Store #5002,78,Denver,1/15/2016,Closure,,,,,,,
Safeway,98,Denver,1/4/2016,Closure,,,,,,,
Climax Molybdenum Co - Henderson Mine & Mill -,200,Jefferson,11/3/2015,Job Attached,,,,,,,
Albertsons Store #1886,72,Mesa,3/20/2017,Closure,,,,,,,
All Aboard -Recinded on 3/31/17,117,Adams,1/30/2017,Loss of Contract,,,,,,,
Alorica,288,Pikes Peak,10/30/2017,Closure,,,,,,,
CA Concessions of Colorado,52,Denver,12/4/2017,Loss of Contract/Downsize,,,,,,,
Cardon Outreach,60,Pikes Peak,1/3/2017,Closure,,,,,,,
Conduent Inc.,244,Arapahoe Douglas,5/19/2017,Downsize,,,,,,,
Dollar Express,37,Various,3/30/2017,Closure,,,,,,,
Express Scripts,338,Pueblo,2/22/2017,Closure,,,,,,,
First Data,201,Arapahoe Douglas,10/13/2017,Reduction in Force,,,,,,,
First Data - Update 1/2/18,149,Arapahoe Douglas,1/2/2018,Reduction in Force,,,,,,,
K-Mart Corporation Store #04332,81,Pikes Peak,1/4/2018,Closure,,,,,,,
Lockheed Martin,79,Pikes Peak,11/1/2017,Reduction in Force,,,,,,,
Multi Packaging Solutions,98,Arapahoe Douglas,7/25/2017,Closure,,,,,,,
National Ecological Observatory Network dba Battelle Ecology,55,Boulder,11/6/2017,Reduction in Force,,,,,,,
National Planning Holdings Inc.,13,Denver,12/14/2017,Sale of business/Reduction in Force?,,,,,,,
National Planning Holdings Inc.,42,Denver,8/30/2017,Sale of business/Reduction in Force?,,,,,,,
Northrop Grumman,50,Pikes Peak,11/2/2017,Reduction in Force,,,,,,,
Northrop Grumman - Updated 1/2/18,85,Pikes Peak,1/2/2018,Other - Loss of Contract,,,,,,,
Pinnacle Foods,27,Boulder,1/5/2017,Closure,,,,,,,
Savers,62,Arapahoe Douglas,3/2/2017,Closure,,,,,,,
TD Ameritrade Holding Corporation,84,Adams,12/6/2017,Company Reorganization/Downsize,,,,,,,
TD Ameritrade Holding Corporation,32,Adams,10/10/2017,Company Wide Reorganization,,,,,,,
UnitedHealth Group,119,Arapahoe Douglas,2/15/2017,Downsize,,,,,,,
UtiliQuest,78,Tri-County,12/8/2017,Loss of Contract/Closure,,,,,,,
Verizon/XO Communications,49,Arapahoe Douglas,6/27/2017,Restructuring,,,,,,,
Viavi Solutions Inc.,61,Pikes Peak,2/7/2017,Corporate Restructuring,,,,,,,
WalMart,68,Denver,1/17/2017,Closure,,,,,,,
Walmart Store #1208,153,Jefferson,6/5/2017,Closure,,,,,,,
Walmart Store #3020,65,Jefferson,6/5/2017,Closure,,,,,,,
Walmart Store #3096,74,Boulder,5/23/2017,Closure,,,,,,,
XTO Energy Western Div Office,113,Arapahoe Douglas,6/20/2017,Closure - Move to other Company locations,,,,,,,
Zenith Education Group,27,Adams,11/3/2017,Closure,,,,,,,
Zenith Education Group,26,Pikes Peak,11/3/2017,Closure,,,,,,,
ACME Brick Company,42,Pikes Peak (Castle Rock),10/29/2018,Closure,,,,,,,
"Advantage Logistics USA West LLC - Aurora, CO",272,Arapahoe/Douglas,2/2/2019,Closure (Cease Operations),,,,,,,
"Advantage Logistics USA West LLC - Fountain, CO",475,Pikes Peak,2/2/2019,Closure (Cease Operations),,,,,,,
Ameritrade Holding Company,8,Adams,8/9/2018,Reorganization,,,,,,,
AstraZeneca,210,Boulder & Longmont,1/8/2019,Closure,,,,,,,
Chipotle Mexican Grill,399,Denver,6/29/2018,Closure,,,,,,,
"Conagra Brands, Inc.",100,Boulder,05/24/19 - 3/20/2020,Closure,,,,,,,
Conduent Commercial Solutions LLC,410,Pikes Peak,8/10/2018,Change in business conditions,,,,,,,
Courtyard Care Center Nursing Home/Family Health West,51,Mesa County,12/1/2018,Closure,,,,,,,
Covenant Care at Home,67,Adams,3/6/2018,Closure,,,,,,,
CPI Card Group,79,Arapahoe/Douglas,2/12/2018,Closure,,,,,,,
Crothall Healthcare/ Patient Transport Dept,65,Adams,10/22/2018,Cease operations,,,,,,,
Davita Clinical Research,41,Jefferson,2/12/2018,Other,,,,,,,
Davita Clinical Research,41,Jefferson,6/1/2018,Closure,,,,,,,
DCT Industrial,55-59,Denver,5/31/2018,Closure,,,,,,,
Dex YP,39,Arapahoe/Douglas,7/27/2018,Closure,,,,,,,
Dream Center Education Holdings Inc/The Art Institute,160,Denver,6/29/2018,Closure,,,,,,,
Dream Center Education Holdings LLC/Art Institute UPDATED to 12/31/18 closure date.,160,Denver,7/20/2018,Closure,,,,,,,
First Data - Update 1/2/18,149,Arapahoe Douglas,1/2/2018,Reduction in Force,,,,,,,
Fluor,54,Boulder,1/22/2018,Other-Loss of Contract,,,,,,,
General Dynamics,75,Pikes Peak,8/1/2018,Ceasing Operations on a contract,,,,,,,
General Dynamics Update 8-22-18 - Layoff date changed to 12/31/18,75,Colorado Springs,8/22/2018,Ceasing operations on a contract,,,,,,,
Jackson National Life Insurance Company,370,Denver,2/8/2018,Closure,,,,,,,
Jackson National Life Insurance Company,156,Pikes Peak,8/13/2018,Closure,,,,,,,
Media News Group dba Digital First,107,Pikes Peak,9/28/2018,Downsize,,,,,,,
National Planning Holdings,7,Denver,1/26/2018,Downsize due to sale,,,,,,,
Northrop Grumman - Update 1/15/18,38,Pikes Peak,1/15/2018,Other-Loss of Contract,,,,,,,
Northrop Grumman - Updated 1/2/18,85,Pikes Peak,1/2/2018,Other - Loss of Contract,,,,,,,
Peak Reliability,69,Larimer,1/7/19 & 4/6/2020,Terminate Operations,,,,,,,
Pura Vida Fitness & Spa,134,Denver,4/15/2019,Closure,,,,,,,
Sandoz Inc.,65,Broomfield,2/6/2018,Closure,,,,,,,
"Sandoz Inc., A Novartis Division (Update)",24,Broomfield,1/7/19 & 4/6/2020,Closure,,,,,,,
Sandoz/Novartis (2nd Wave of Layoffs),116,Broomfield,2/11/2019,Closure,,,,,,,
Schneider National Carriers Inc.,119,Arapahoe/Douglas,2/15/2018,Other - Loss of Contract,,,,,,,
Scottrade - Ameritrade,63,Adams,1/18/2018,Other  ,,,,,,,
Scottrade - Ameritrade,10,Adams,5/3/2018,Downsize,,,,,,,
Spectrum Pharmaceuticals,3,Denver,2/13/2019,Divesting Product line/Sale to Acrotech Biopharma,,,,,,,
St. Mary Corwin Medical Center,272,Pueblo,3/8/2018,Downsize,,,,,,,
Startek,261,Pikes Peak,1/31/2018,Downsize  ,,,,,,,
Startek Inc.,186,Weld,8/17/2018,Reduction in Force,,,,,,,
The Cheesecake Factory,96,Boulder,10/24/2018,Closure,,,,,,,
The Inn at Cherry Creek,18,Denver,1/2/2019,Closure (Temporary 18-24 mo),,,,,,,
Wells Fargo/Consumer Lending Group Home Equity Fullfillment Group,53,Pikes Peak,8/23/2018,Closure of Unit,,,,,,,
Westrock,61,Arapahoe/Douglas,3/25/2019,Closure,,,,,,,
"WideOpenWest Networks LLC and WideOpenWest Illinois, LLC",203,Colorado Springs,1/9/2019,Downsize,,,,,,,
Williams Field Services Group LLC,Unknown,Rural (Durango),7/31/2018,Selling assets,,,,,,,
"Conagra Brands, Inc.",100,Boulder,2/5/19,Closure,Not reported,5/24/19 - 3/20/20,,,,,
Crothall Healthcare Environmental Services,283,Arapahoe/Douglas,4/26/2019,Closure,"Housekeepers,  Admin, Operations, Patient Ambassadors",6/30/19,,,,,
"Energes Services, LLC",121,Larimer,10/30/2019,Closure,"Various: Construction, Maintenece, Admin","10/30/2019, 11/8/2019, 11/22/2019, 11/29/2019",,,,,
Geo Reentry Services LLC,196,Pikes Peak (Colo Springs),1/7/2020,Mass Layoff,"Various: Corrections Personnel (136), Rehabilitation Providers/Therapists (23), General Admin (17), Food Service (6), Medical (14)",3/6/2020,,,,,
Halliburton Energy Services Inc.,178,Mesa,10/7/2019,Mass Layoff,"Various: Drivers, Service Coordinators, Planners, Material Handlers, Mechanic Technicians, Parts Techs, Coordinators",10/7/19,,,,,
HomeAdvisor,229,Pikes Peak,11-1-19 received 11/19/19 via Local Area/Suthers office,Closure,Various: Predominately Sales Consultants and Project Advisors,1/1/20 to 1/14/20,,,,,
Invesco (OppenheimerFunds OFI),850,Arapahoe/Douglas (Centennial),3/21/19 (received  3/22/19),Downsizing,Not disclosed in WARN,5/25/19 (thru 18 mo following),,,,,
Jagged Peak Energy Inc,92,Denver,12/10/2019,Closure/Sale of Company/Restructuring,Various: Request WARN notification for specifics.,Closure 1/10/20- 04/10/20,,,,,
Levy Premium Foodservice LP,56,Denver,9/30/2019,Loss of Pepsi Center Contract,"Various Positions:  Servers (14), Cooks (13), Supervisors (6), Food Runners (4), Cashiers (3) and other positions",9/30/19,,,,,
Molson Coors,300,Denver,10/30/2019,Downsizing,Not disclosed in WARN,12/31/19,,,,,
National Express Transit (NEXT),60,Pikes Peak,3/1/19 (received on 3/22/19),Closure,"3 Managers and 57 hourly employees including General Manager, Saftety Manager/OPS, Drivers, Dispatchers, Dispatch Reservation Manager, Road Supervisors, Utility Workers, Scheduler, Reservationist",6/30/19,,,,,
Nestle USA Inc and Nestle Dreyer's Ice Cream,56,Denver,8/16/2019,Restructuring/Closure of site,"Various: Sales, Delivery Drivers, Merchandisers, Warehouse",10/18/19-12/31/19,,,,,
Oakwood Worldwide,1,Denver,10/29/2019,Mass Layoff,Operations Manager,12/30/2019,,,,,
PrimeFlight Aviation Services Inc.,439,Denver,7/15/19 (received 7/16/19),Loss of Contract with United Airlines,"Various positions: Cabin Appearance Staff (380), Inventory Control (17), Operations Managers, & other positions",9/18/19,,,,,
Pura Vida Fitness & Spa,134,Denver,1/18/2019,Closure,"Managers/Directors, therapists, instructors, & others",4/15/19,,,,,
QCData,40-60,Arapahoe/Douglas,10/4/19,Loss of Contract,Unknown,11/29/19 - 1/31/2020,,,,,
Resolute Natural Resources Company LLC,57,Denver,1/15/2019,Merger ,"Various: administration, engineers, & others",3/1/19,,,,,
S4 Inc.,77,Pikes Peak,1/26/2020,Loss of Contract,Various: IT positions,Downsize 1/26/20,,,,,
"Sandoz Inc, A Novartis Division (Next Phase)",56,Broomfield,3/18/2019,Closure,"Management, Production Technicans, administrative, Material Handlers",5/18/19 - 6/1/19,,,,,
"Sandoz Inc., A Novartis Division (Update)",24,Broomfield,1/7/19 & 4/6/2020,Closure,"Production Technicians, Chemists, & more",4/13/19-5/30/19,,,,,
Sandoz-Novartis,24,Broomfield,7/6/19-7/31/19,Closure,"Lead Technicians (5), Equipment Maintenance Tech III (3), Production Technician III (16)",7/6/19 - 7/31/19,,,,,
Sandoz-Novartis,67,Broomfield,7/8/2019,Closure,"Various positions: Administrative, Chemist, Supply Chain, Production, Quality, Techs, Logistics",9/7/19 - 12/31/19,,,,,
Sandoz-Novartis,37,Broomfield,8/5/19,Closure,"Various Positions: Logistics Productioins Support, Compliance, Quality Engineer, HR Specialist, Trainer, Management",10/5/19-12/31/19,,,,,
Sandoz/Novartis (2nd Wave of Layoffs),116,Broomfield,2/11/2019,Closure,"Production technicians, chemists, process & others",4/13/19 - 5/19/19,,,,,
Smithfield Fresh Meats Corporation,68,Denver,10/24/19,Closure,"Various: General Labor, Crew Leaders, Equipment Operators, Forklift Operations and others.",12/31/19 to 3/26/20,,,,,
Spectrum Pharmaceuticals,3,Denver,2/13/2019,Divesting Product line/Sale to Acrotech Biopharma,"Application system analyst, data compliance officer, VP Sales",4/12/19,,,,,
The Inn at Cherry Creek,18,Denver,1/2/2019,Closure (Temporary 18-24 mo),"Front office, housekeeping, exec office, engineering & others","3/3/19, 3/31/19",,,,,
Transform SR LLC (060401 & 01141 Units),80,Arapahoe/Douglas,8/29/2019,Change in Business Circumstances,"Various: Consultative Sales, Managers, Store Support, Fulfillment Center, Cashier, Auto Technicians, Customer Service",12/15/19,,,,,
TTEC Services Corporation,174,Arapahoe/Douglas,10/5/2019,Ending work-from-home ops,Primarily Customer Service Agents working in different locations across the U.S.,10/5/19,,,,,
Upsher-Smith Laboratories LLC,74,Denver,5/10/2019,Closure,"Various postions: Manufacturing Technicians, scientists, engineers, technical services, instrument controls, operations ",8/2/19 - 3/31/20,,,,,
Westrock,61,Arapahoe/Douglas,3/25/2019,Closure,"Production workers, auditors, technicians & others","3/25/19, 4/24/19, 5/24/19",,,,,
"WideOpenWest Networks LLC and WideOpenWest Illinois, LLC",203,Colorado Springs,1/9/2019,Downsize,"Customer Advocates, Business Tech Sup, Sales Retention Specialists & more",3/10/19  (184) & 5/31/19  (19),,,,,
Zahn Dental,54,Jefferson (Golden),1/7/2020,Reorganization and relocation,"Various: Customer Care, CAD Scanners, Finishing Technicians, Machine Operators, Finishing Technicians & others",3/9/2020,,,,,
ADW,3,ADW,8/31/2020,COVID 19 Extended Furlough,"Account Manager, Analyst Q&A, Local Sales Market Manager",8/31/20,,,3,Avis Budget Group,53
ABM,178,Denver,6/30/2020,COVID - Temporary ,"Various: Supervisor, Administrative Assistant, Shuttle Driver and Bus Attendants",4/10/2020,178,,,ABM,56
Airport Management Services & Hudson Group,45,Denver,9/8/2020,"COVID 19 - 22 permanent, 23 temporary","Service Associates including stock and warehouse, Supervisors; 22 permanent, 23 Temporary",10/1/20,23,22,,Airport Mgmt Services & Hudson Group,48
Alamo Drafthouse Cinema Littleton - Update,87,Arapahoe/Douglas,8/17/2020,COVID - Temporary ,Not disclosed,8/17/20,72,,,Alamo Drafthouse Littleton - Update,72
Alamo Drafthouse Cinema Sloans Lake Update,87,Denver,8/17/2020,COVID - Temporary ,Not disclosed,8/17/20,87,,,Alamo Drafthouse Sloans Lake Update,72
Alamo Drafthouse Cinema Westminster  - Update,87,Adams,8/17/2020,COVID - Temporary ,Not disclosed,8/17/20,87,,,Alamo Westminster Update,72
Alamo Rent-A-Car,67,Denver,4/30/2020,Mass Layoff - Permanent,"Various: Customer Service Agent, Service Agent, DOT Bus Driver, Exit Booth, Greeter",4/3020,67,,,Alamo Rent-A-Car,53
Alsco,85,Denver,3/20/2020,Furlough,"Production, Route Sales Representatives",3/20/20,,,85,Alsco,81
American Airlines,109,Denver,7/15/2020,"COVID-19 - 2 Permanent, 107 Temporary Fulough",Not Disclosed,10/1/20,,2,107,American Airlines,48
American Pathology Partners and APP-UniPath,154,Denver,11/6/2020,Permanent,"Logistics, histology, accessioning, molecular services, cytology, administration, sales, client relations, hospital services, clinical services",1/6/21,,154,,American Pathology Partners,62
Ameristar Casino Resort & Spa Black Hawk,58,Jefferson,8/28/2020,COVID - Permanent,Various,11/1/20,,58,,Ameristar - Update,72
Ameristar Casino Resort Spa,117,Gilpin/Jefferson,6/11/2020,Mass Layoff- Permanent,Not disclosed,9/15/2020,,117,,Ameristar Casino Resort Spa,72
Anheuser- Busch - Loveland,71,Larimer,9/29/2020,Sale of Company,"Various: sales, drivers and more",12/4/2020,,71,,Anheuser-Busch,31
Anheuser-Busch - Colo springs,59,Pikes Peak,9/29/2020,Sale of Company,"Various: drivers, drivers, merchandiser, and more (see WARN)",12/4/2020,,59,,Anheuser-Busch,31
Anheuser-Busch - Denver,220,Denver,9/29/2020,Sale of Company,"Various: analysts business development, marketing, driver, mechanics and more (see WARN)",12/4/2020,,220,,Anheuser-Busch,31
Anheuser-Busch - Littleton,50,Arapahoe/Works,9/29/2020,Sale of Company,"Various: analysts, drivers, sales, warehouse and more (see WARN)",12/4/2020,,50,,Anheuser-Busch,31
"Antlers, a Wyndham Hotel",28,Pikes Peak,9/10/2020,"COVID 19 - 8 permanent, 20 temporary","Sales admin, barista, line cook, restaruant manager, security officer, bartender, valet gift shop attendant, server, steward and others. 288 permanent, 20 temporary ",9/10/20,20,8,,Antlers Wyndham Hotel,72
Aqua Hot Heating Systems,10,Weld,4/13/2020,Furlough,Various ,3/26/20,,,10,Aqua,33
Arabelle at Vail Square,17,Rural Resort,5/4/2020,COVID - Temporary ,17 EMPLOYEES TOTALING 99,Not available,17,,,Arabelle,72
Aramark at Coors Field ,71,Denver,10/16/2020,COVID-Temporary,Various,Unknown,71,,,Aramark Coors Field,72
Aramark at Mission Ballroom,904,Denver,10/16/2020,COVID-Temporary,Various,Unknown,904,,,Aramark Mission Ballroom,72
Arapahoe Fitness LLC,97,Arapahoe/Dougless,3/31/2020,Furlough,"Managers, Trainers, Front Desk, Member Sales, Instuctors",3/31/20,,,97,Arapahoe Fitness,71
Arrabelle at Vail Square,82,Rural Consortium,4/6/2020,COVID-19 Temporary Closure,Unspecified ,4/6/20,82,,,Arrabelle at Vail,72
Aurora Health & Fitness,52,Arapahoe/Dougless,3/31/2020,Furlough,"Managers, Trainers, Front Desk, Member Sales, Instuctors",3/31/20,,,52,Aurora Health & Fitness,71
Avis Budget Group (ADW - Englewood),2,ADW,8/31/2020,COVID 19 Extended Furlough,Technicians,8/31/20,,,2,Avis Budget Group,53
Avis Budget Group (Denver),2,Denver ,8/31/2020,COVID 19 Extended Furlough,"Sales Performance Manager, Territority Performance Manager",8/31/20,,,2,Avis Budget Group,53
